Comment
Prabhu aap se kaise mile
Satya swikarna mushkil kam hai.
प्रणाम । मेरा मन बहुत अशांत रहता हे दिमाग में पूरे दिन ख्याल आते रहते हे ध्यान लगाने की बहुत कोशिश करता हु पर दिमाग एक जगह रुकता नहीं दूसरी जगह चला जाता हे क्या करू बताइए या किसी योग गुरु या संत के पास जाऊ जो मेरे मन को शांत करने में मेरी सहायता कर सके लव from rajasthan I am a student please help
Laxmi narayan je ke kripa se aapke har khwaish pure ho aap hamesha khush rahe jai mata di
That's why I am able to distribute my true love to the kids because of Single(???). Pranam Guruji
Ye to purani beaten hai
"आंतरिक खुशहाली चाहने वाले एक बार ईशा योगा सेंटर कोयंबटूर जरूर जाए ,हिंदी बोलने वाले भी, भाषा कोई मायने नहीं रखती ,अगर आप वास्तव में इच्छुक है, यह जरूर काम करेगा, मुझे भी इंग्लिश नहीं आती, but यह मेरा personal experience है"
Namaskaram sadhguru ji
"Thanks sadhguru, shbhavi mahamudra k liye, isne meri bahut help ki h"
OSHO Hindi चैनल के सदस्यता लें - JOIN बटन या इस लिंक पर click करें दैनिक सम्पूर्ण टॉक्स की श्रंखला और विषयबद्ध टॉक्स का संकलन। शुल्क: ₹159 प्रति माह।
Subah 5.30 par chatt par jake subah ki hawa me suniye anubhav hoga
Mera Toh janm poora ho yha se aur mai bhaagu pichde desh mai aagya mai PTA nhi konsa soul agreement tha hoga
Tabhi ap patthar ke khilaf ho
Jai Osho Dev जी
He mere malik mi Aaj Tak jis ka naam bhagwan sunte aaya Hu main use n to dekha Hai aur n unki aawaj Suni Hai par mujhe lagta hai ki aap Wahi hai jise duniya bhagwan kahta hai
Jo instrument music starting mae 10 sec kae liye baja uska naam kya hae....please koi bato.
Thank you Bhagwan Rajneesh ji ... listening to you is definitely Meditation for us...
Osho ki awaaz mein Gajab Ka thahrav Hai
Osho ji Zivan ki Disha. H
"बड़ा खतरनाक Speech है दादा ऐसा लगता है मैं रिलेक्स हो गया , इस जीवन मे भरे तनाव से तनाव मुक्त"
Osho ji ke baate bachpan se he sikhai jati bahot acha raheta ....
Osho ki aisi speech mene aj tk nahi suni.
Kaun bear Peete hue sunta Hai
Muchhy osho ke vichar ache lagate hai
Osho tu bhi toh insaan tha
Comment mai like karo taki mai baar baar ye baate yaad rakhu
kya Kuch rah gya hai jo osho naa kah paaye please tell me
osho baba ke jiy
So many times thanks for this information so TRUE batei Bless you Bhai नमस्ते
"Dhanyawad rajnish osho abhi 2 ghante padh leta hu ,fir harry potter padhunga 1 ghanata fir sayad khana. Khaunga ajj ko acha karunga takinkal bhi acha ho ajj me jiunga chahe wo kitna bhi dukhibkyu na ho"
Osho ko sunta hun to jivan ki sachai pata chalti hain
mujhe aap logo se bahut kuch mila hai.Jeevan ki bahut seekhen aap log hum logo tak pahucha rahe hai .iskeliye tahe dil se dhanywaad.
Ye morning me sunuga daily Maja aagya
Appki.awse.kay.hai.appka.har.sabad.mahatpuran.hai
Namaste.hai.appko.parnam.hai.appko.thenku.to.chota hi.rahega
Osho ko sunne k liye paid membership...very bad osho ese nahi they
"Mai morning me sunta hun ,"
भगवान ~ भाग्यवान OSHO ओशो
"The tune at the start, can someone say its name or from where to download?"
Mujhe Chetanai kai liya dhanyawad
Osho ka speech ruh tak utar jata hai
Pure jivan ka sar Osho Ne Batla Diya pura Tod Kar Diya man Kasam Mera durbhagya Hai Jo Main Osho ke time per paida nahin hua aur Maine unhen samne se nahin suna yah Mera durbhagya Hai per aapki Vani Sun Raha Hun yah Mera saubhagya Hai
bahoot afsosh hum bhagwan ke darshan nahi kar paye
Bina sune nid nahi aati
Ab aise vidwan aur darshanik ab nahi honge
Jinhone bhi osho ke pravachno ko recording krne ka vichar aya mera unko pranam
Osho ko Sunana Accha lagta h Varna Kon Itni Lambi Video Dekhta H
Kon kon Instagram se Aya >>>
Aacharya Osho mahamanav hai
Iski sirf awaj hi kafi hai
Aaj aapne mujhe rok liya
Back ground music nikaldo please दिमाग को बहोत upset करता है
Mein sunta hoon Osho ji ka bakat hoon
This is the best thing ever happened to me
apne meri zindgi ko jinay ka dhang hi badal diya osho
Ess pal ko jeena ka matlab Meditation karna ? Ya matlab kya karna ....
Iske aage ka video kaha hai
Want to live now but there are some compulsions which force to wait for appropriate situation and circumstances
Ye mai rooz subah sunta hu sabse pehle din mai.
Inki aawaj me ek gehraai h
Kaun Hai Kaun Hai Jiska Osho Ji ko Suni bagair Nahin Nind nahin aati
Mai ladungi akhari sash tak mott se sar jukana padega...kyo ki baat mere dharm ki hai shrusti i ke hai shanti ki hai...
