# YouTube URLs for Hinglish Comment Extraction
# Add your YouTube video, playlist, or channel URLs below (one per line)
# Lines starting with # are ignored

# Example Indian YouTube channels with Hinglish comments:
# https://www.youtube.com/@CarryMinati
# https://www.youtube.com/@BBKiVines
# https://www.youtube.com/@ashishchanchlanivines

# Add your URLs here:
Name of the channel	Link to the channel	Channel ID
Rahul Gandhi	https://youtube.com/@rahulgandhi?si=RIsbIOKs6yqdzB1E	UC1DtEMePmr4O6F2do6BVl7A
Shivaleekka's Kitchen	https://youtube.com/@shivaleekkaskitchen?si=pHYdoZvUr6W6FAqv	UCzZBC6EbXIu9heE14fy5Ljg
That viral food	https://youtube.com/@thatviralfood?si=T6OfAyqGyr4Rfb7j	UCl2E5ZEZQbcWEhuQD60rcMQ
Shahveer Jafry Second	https://youtube.com/@shahveerjafrysecond?si=gAu3KK451Aoq7utp	UCH5R6Hl5XJsl4xMmPyFJNmg
Mishraveda	https://youtube.com/@mishraveda?si=FQwx6_madPSE8dKe	UCmaYoZT9ul7vbTFdQNkvELQ
Indian Recipes with Seema	https://youtube.com/@indianrecipeswithseema?si=aZvfaemq5OnFXjkA	UCSU35LBaKHHEATAcnwcHohA
Rasoivideos	https://youtube.com/@tulsirecipes?si=e3qZqLy5ooIL1kQT	UCLh7H5fXKipJstSpOgl7lIA
Ayurved Shiksha एवं समाधान	https://youtube.com/@ayurvedshiksha999?si=RPXtF3umB1VuqjHZ	UCpdFDgqHsppRGiejkm01r0g
Country Tellers	https://youtube.com/@countrytellers?si=73ynPBvncDzW-CX4	UCf40xlfHNLtJh9NXiAxHkzg
Swami Ramdev	https://youtube.com/@swamiramdevofficial?si=F7aaBNAPmhZ92P6d	UCX7SHIccUCj3S4cID-pM-Xg
King In Kitchen	https://youtube.com/@kinginkitchen?si=UBQ302NSk5PWFZ5V	UC75ECj5xTfma92Ga4yjC8JA
News18 MP Chhattisgarh	https://youtube.com/@news18mpchhattisgarh?si=LEXd4xMwqtn7Z1G4	UCBwc2cbPpvxNCNEI2-8YrqQ
XpertDoctor	https://youtube.com/@xpertdoctor?si=GdBZDIfrscfte9b_	UCamw7JEAb62uyvNmY-lsz4Q
Humera Khan	https://youtube.com/@humerakhan803?si=WvZVM_Arbhmg4paT	UC8irSHa9Zrp-XP16dClZmLg
Peepal Farm	https://youtube.com/@peepalfarm?si=ILRd_huUjdFIETCu	UCWWg5HFC5z8pIGLZal8Jgpg
Roop / GRS	https://youtube.com/@roopofficial.2?si=3On_ke_fjntHUgfz	UCoZEA7m89j595PriZN3ibEA
Health Plus	https://youtube.com/@healthplus19?si=B0DRxVrj6TJDZlq-	UCP-7g0sLFSlD3cOBm9lcETQ
Dr.Education :Simplified Medical Explanations	https://youtube.com/@dreducation?si=s7MiYeU-1fCQhoYu	UCwSeTE378iuYPp6DTy0gDYw
Yoga With Shaheeda	https://youtube.com/@yogawithshaheeda?si=vPnAEnilEY0sHStX	UCAmxfj3S7vM82SKbKpGYugw
Amarjyot Singh Bedi	https://youtube.com/@amarjyot?si=axKDo7MxYFcr0lYE	UCukX5XAoaT-gxPDsEt4LdLQ
Study Fit of Physical Education	https://youtube.com/@study_fit_of_physicaleducation?si=zpol1FQY_7s1xfiW	UCOjzc6at8CczIyaACav8pcw
Dr. Amol Kelkar	https://youtube.com/@dr.amolkelkar9656?si=4-sZUpNaVFkCNjHM	UCUFWRD2eNF2ije2v3k787QA
NCERT OFFICIAL	https://youtube.com/@ncertofficial?si=Lkkd23zhXRqVzsJO	UCT0s92hGjqLX6p7qY9BBrSA
COMMANDO ACADEMY	https://youtube.com/@commandoacademy?si=FBfnr2x0PNO1vpSo	UC6BVh2mce5z7tDOLQcZyqFg
Arth Prakash TV	https://youtube.com/@arthprakashtv?si=GteUc9IF9TLWHv08	UCg6b_COp4zzuelGGAtV3YPQ
INDIA TOWN NEWS	https://youtube.com/@indiatownnews?si=zFeTuaW8vm_pdmQm	UC7uy6owESdStHWsdmDUUj6Q
Social Sunil	https://youtube.com/@social_sunil?si=7Y3d-2-_KIJ0t_8Q	UCHm-aqTKp8SGaBGATkW1JpA
Bihari news	https://youtube.com/@biharinews?si=kgL4DahtSV6x3LV0	UCqgAJAFCYnfuDyN1r1_nLYA
Indian Media Latest	https://youtube.com/@indianmedialatest?si=QNiYSEAr-ZtIBOdz	UCKbw_uj_s_MoBWF9LiFYHfA
True Motivation	https://youtube.com/@truemotivation4211?si=-9oiNgnpYLIYdM-l	UCMwYqnbY_K8VIorLOnk3-tQ
KAB TAK	https://youtube.com/@kab_taknews?si=8tLiGJCXFhQ9IAtr	UChCrAiSEBHERte0TeSmis5g
Cricket Gatha	https://youtube.com/@cricket-gatha?si=QqkajJN_SfQ1hstP	UCV2xF4lm8qOzacB4fhx5V7Q
Netplex Movies 2025	https://youtube.com/@latestnetplexmovies2024?si=RLAipO_sEmbgFonV	UCuqpqRaJJL51ydh801feZJA
Zeenu Explainer	https://youtube.com/@zeenuexplainer?si=0FrOHVdSC0JX9tY9	UCJ0obj-KcVmw45JpV3bGz3w
Techno Pritam	https://youtube.com/@technopritam?si=7hKaEecl8NLxmLrI	UC_EZZ5KO1_m0XZ5vsCh88AA
YT Expert Krishna	https://youtube.com/@ytexpertkrishna?si=gA9vxxmikymbL_O6	UC4ozaKp2Wd2OHcGP4iYv1Ww
ALLEN Career Institute	https://youtube.com/@allencareerinstituteofficial?si=o_NXJKxFyTVQ1htC	UCgUeJ2Gv7rJtMBkQF2Ppn4A
मायो जापान Mayo Japan	https://youtube.com/@mayojapan?si=N8_ukZ7umSqiPVt1	UCBjmXe4le5EH7gKrq2UswAQ
Chienese Express	https://youtube.com/@chieneseexpress?si=hyOMRRAtz3Upa6Lv	UCeK95Jt3OHiNCu5dUwvF1AQ
DHASOO FUNDA	https://youtube.com/@dhasoofunda4046?si=hhN7DC_ciz59Q9Gh	UCQYpyKfpvAkjU59L9j_Z8fA
History Mystery Saga	https://youtube.com/@historymystery07?si=QRdh1wc12GyU2lA_	UCW6uswqJeuSadadmyuqVhVA
Sant Rampal Ji Maharaj	https://youtube.com/@saintrampaljimaharaj?si=rXiQu8CdgRd3brIc	UCtb33Ciysb6TEkXaORcVmpg
Moral Light	https://youtube.com/@lightofmoral?si=dk8bar8dxZkxY48H	UCHE86q42j4lVWvsoAMtswJA
pardeep mishra shiv katha	https://youtube.com/@neelkanthmahadev369?si=_gtc2bYCReqItR2t	UCXo8gMbZLH1UORiQY2bfpew
Aiman Unfiltered	https://youtube.com/@aiman_unfiltered3855?si=Zog_QWi-Xq_A7ZaE	UC1uVfPkrj1yIF3j8YPPxNDQ
Explainer Hunny	https://youtube.com/@explainerhunny?si=QdIRzINsedoSqG97	UC_yL3JOjQDLPTVLd-cMSesw
ALL TABS	https://youtube.com/@alltabs?si=D6PFWXTL5QxGLicF	UCZkjsFOeK5RbDYvqBatHcDg
Hollywood Silver Screen	https://youtube.com/@hollywoodsilverscreen2346?si=0wqKjCXDoC117S1I	UC9Jr3q-Io1BI9tyjiNX5oWQ
Karnu Shekhawat	https://youtube.com/@karnushekhawat?si=lAB_58IJBF8-jrJB	UC7ZW6AqsxarydJKCYPFGs7w
Bollywood Gold Screen	https://youtube.com/@bollywoodgoldscreen116?si=wu0tOFSPRb0eR5Sx	UCYs7PwmkeulU8CoW9hpfxsQ
Sanjay Meena	https://youtube.com/@sanjaymeenatreatncure?si=RnYiL-E-ewSuR_7S	UCgo5K-jt0D3sSdgdoViqcsg
On Road with Sumit	https://youtube.com/@onroadwithsumit?si=qyxLWS7TTtrswFSq	UC4ixuIClFiiqNexvoCpLOxg
I am Lover of Knowledge	https://youtube.com/@iamloverofknowledge?si=LVzLy0B7d-rTjXp1	UCCfsPTK0QNPaYg7tlMfgc6g
Rajput Documentary	https://youtube.com/@rajputdocumentary4889?si=ZyRh5ndaxQLl30Ab	UC_o5QzeRuEcEbTQcWd91FdQ
Car Sikho	https://youtube.com/@car_sikho?si=gQdGxS_nuRak2r7U	UCzJu-7z7kVW71gfLWUe7Ahw
Gadi Repair	https://youtube.com/@gadirepair?si=kVNtHIGVq5kefFtN	UCjDOoKvLO8JvvskLoKyVAjA
MISTERIO Facts	https://youtube.com/@misteriofacts?si=xnjUVUuwVy76t2j6	UCZjDKiWqYyU2Lw1rhgAhckQ
See & Feel	https://youtube.com/@seeandfeel?si=LxlWWRJQQQAW9dZH	UCVcV3CXKCRM8qjBTzxdJtGA
Prems Production Dubbing King	https://youtube.com/@premsproduction?si=xolToGnF1qyfchm-	UCAspEGWHZnBAs3xERgmhTcw
Positive World	https://youtube.com/@positiveworld12?si=wMtw2_dZkS0TPW_j	UCXD2yLtLnLmKlTX7Twhe7Yg
Biology in hindi By Dr. STRANGE	https://youtube.com/@biologyinhindibydr.strange2665?si=PzULpRO_LvxepWFq	UC4eQHcekskiw2QnNFSeIpdQ
CampusX	https://youtube.com/@campusx-official?si=MlRvCIGlpi6eKES5	UCCWi3hpnq_Pe03nGxuS7isg
WIN IAS INDORE	https://youtube.com/@winiasindore?si=BvXmBmf4FIOeVxeW	UCEPM3cwkW2vN_e_DFQ9VXyw
Never Quit	https://youtube.com/@neverquitofficial?si=AnIGUsqODIu60Xba	UC4YqCFg69vdMP9xjga4xhTw
PMO India	https://youtube.com/@pmoindia?si=Ppkz-01ZL0h9NoQX	UCDS9hpqUEXsXUIcf0qDcBIA
ias psc motivational Student Zone	https://youtube.com/@iaspscmotivationalstudentzone?si=h6VYFv47guGraOLF	UCaA0OLA2Ps17_8tq__IiAvg
Mettas Club Dr. Amit Maheshwari	https://youtube.com/@mettasclub?si=wITJk7QKHZafXmue	UC6nCMhA2hqyw6Xa3RYkVoaA
Professor Anand Sahani	https://youtube.com/@professoranandsahani?si=1WS5UajaS79MlCKx	UC2PaPPKU2oFdys6SPfdDJoA
Pariksha Plus	https://youtube.com/@parikshaplus?si=4lS9CBXRU70L-mQA	UC3AEIcsSKLrjvUUtEduZZ5g
E-Learning With Durgesh	https://youtube.com/@elearningwithdurgesh?si=MJykPmKLxJ13UyMN	UCQvbLQgx_qwN7JduWCqtk4w
Gaming Exude	https://youtube.com/@gamingexude?si=MrOi8QosxmpyrI1X	UCpnKaGsEIc33qM7H_RkAW1g
Dr. Indermohan Khandelwal	https://youtube.com/@dr.indermohankhandelwal?si=iHOSKWKHSXQ2QFPn	UCIP2JYpHqmWMJDPDsNoUhsw
Bishal Lifestyle Vlog	https://youtube.com/@bishallifestylevlog7935?si=Y_H4D9oze4EKePA0	UCuoHrTDkbXL8zCbpPfz9AQQ
Netsaar Network	https://youtube.com/@netsaarnetwork8895?si=odio_5c_CgVRZDW-	UCOYGFakHwNMnLo_yagilmnw
ClipsTrust	https://youtube.com/@clipstrust?si=LJoC6c682jbGlBRh	UCY15Afsy2UYF0pdRt9ZlOjw
Inferior Facts	https://youtube.com/@inferiorfacts5419?si=DOEzySw7ovGHDi4S	UCuc0J2Z-DHRxRmvLYgFBRDg
The Amazing Fact हिंदी	https://youtube.com/@theamazingfact8042?si=GwGIKjNj2MeC7PfJ	UCV6fjf_A45kdPgs964QS-Ew
Lovable Travable	https://youtube.com/@lovabletravable8091?si=yIjXZbCdWzZ0sIVD	UCBuzqOcwGrpizSnGpLScbcA
Andhabit Faith	https://youtube.com/@andhabitfaith?si=4GVcVflL7f-YG6u8	UC98ZvBvyvwuCuN22DWsxaVA
PixsTube	https://youtube.com/@pixstube?si=Xgq6vQokdq5l0Ifk	UCPe0yDtkamTcodvCaoOVvhg
Trending Videos	https://youtube.com/@trendingvideos5018?si=FGoEmDZt8N-imFEB	UCuZWiYXV1vUYYspOsoBcYiA
Youtube Entertainment	https://youtube.com/@onlinejobwithoutinvestment?si=YCcvZaytztzW_F1s	UCs5tj50jFBw0STPoy6-mZuw
Travel with Vashishth	https://youtube.com/@travelwithvashishth?si=yKPxrf6GAuMTsI4S	UC2_fJuptgAbt84fTv50Nj7Q
